RefCat,AnnoConstruccion,Direccion
3840702PD7034B,2000,SEGOVIA
3840703PD7034B,2000,SEGOVIA
3840704PD7034B,2000,SEGOVIA
3840705PD7034B,2000,SEGOVIA
3840706PD7034B,2000,SEGOVIA
3840707PD7034B,2000,SEGOVIA
3840708PD7034B,2000,LIMA
2181801PC9928A,0,OLMO (ALVARADO)
2181802PC9928A,1971,SALIENTE (ALVARADO)
2181803PC9928A,1971,SALIENTE (ALVARADO)
2181804PC9928A,1971,CIPRES (ALVARADO)
2181805PC9928A,1971,CIPRES (ALVARADO)
2182201PC9928A,0,CIPRES (ALVARADO)
2182202PC9928A,1971,CIPRES (ALVARADO)
2182203PC9928A,0,CIPRES (ALVARADO)
2183901PC9928A,1990,A (ALVARADO)
2082001PC9928B,1971,OLMO (ALVARADO)
2082002PC9928B,1971,OLMO (ALVARADO)
2082207PC9928C,0,CIPRES (ALVARADO)
2082208PC9928C,2002,MORAL (ALVARADO)
2082209PC9928C,2002,MORAL (ALVARADO)
1654301PD7015S,0,SUB-CC-9.2-2
1654302PD7015S,0,SUB-CC-9.2-2
1654303PD7015S,0,SUB-CC-9.2-2
1654304PD7015S,0,SUB-CC-9.2-2
2082210PC9928C,2002,MORAL (ALVARADO)
2082211PC9928C,2002,MORAL (ALVARADO)
2082212PC9928C,2002,MORAL (ALVARADO)
2082213PC9928C,2002,MORAL (ALVARADO)
2082401PC9928C,2009,CIPRES (ALVARADO)
2082402PC9928C,2009,CIPRES (ALVARADO)
2082403PC9928C,2009,CIPRES (ALVARADO)
2082404PC9928C,2009,CIPRES (ALVARADO)
2082405PC9928C,2009,CIPRES (ALVARADO)
2082406PC9928C,2009,CIPRES (ALVARADO)
2083901PC9928C,2009,PALMERAS LAS (ALVARADO)
2083902PC9928C,2009,PALMERAS LAS (ALVARADO)
2083903PC9928C,2009,PALMERAS LAS (ALVARADO)
2083904PC9928C,2009,PALMERAS LAS (ALVARADO)
2083905PC9928C,2009,PALMERAS LAS (ALVARADO)
2083906PC9928C,2009,PALMERAS LAS (ALVARADO)
2083907PC9928C,2009,PALMERAS LAS (ALVARADO)
2083908PC9928C,2009,PALMERAS LAS (ALVARADO)
2083909PC9928C,2009,MAJUELO (ALVARADO)
2083910PC9928C,2009,MAJUELO (ALVARADO)
1097202PD7019E,1995,UR RIOCAYA
1097203PD7019E,2000,UR RIOCAYA
1097205PD7019E,1998,UR RIOCAYA
